scenarioId,fixtureVersion,profile,contractVersion,mapVersion,initialSnapshotHash,repetition,candidateRank,actionSequence,salientEnemyId,salientTargetProgress,killCount,damageDealt,initialEnemyCount,finalAliveEnemyCount,terminalNearestEnemyDistance,terminalNearbyEnemyCount,terminalHeightDelta,terminalActionable,executionDifficulty,expectedHits,durationTicks,safetyScore,killScore,difficultyScore,totalScore,elapsedMs,worldHashAfterReplay,replayValid
A1,A-v2-complex,공격형-무가중진단,1.6,1,50DEB425210D7347,4,2,"Lunge(0)>Attack>DashForward>Lunge(7)>Attack>DashBackward>Lunge(3)>Attack>MoveRight>Attack>DashLeft>Attack",0,34.000,7,21,16,9,2.186,5,0.000,False,9.427,0,180,3500000.000,831.600,0.000,3500832.000,338.093,0E0BAA0CC0A1ACC0,True
A1,A-v2-complex,공격형-무가중진단,1.6,1,50DEB425210D7347,4,3,"Lunge(0)>Attack>DashForward>Lunge(7)>Attack>DashBackward>Lunge(3)>Attack>MoveRight>Attack>MoveForward>Attack",0,34.000,7,21,16,9,1.271,8,0.000,False,8.677,0,180,3499998.000,831.600,0.000,3500829.000,338.093,1456CDCDEF8C4CBA,True
A1,A-v2-complex,공격형-무가중진단,1.6,1,50DEB425210D7347,5,1,"Lunge(0)>Attack>DashForward>Lunge(7)>Attack>DashBackward>Lunge(3)>Attack>MoveRight>Attack>DashForward>Attack",0,34.000,8,20,16,8,1.211,7,0.000,False,9.427,0,180,3499998.000,880.000,0.000,3500878.000,357.985,174E838DC2F18B2B,True
A1,A-v2-complex,공격형-무가중진단,1.6,1,50DEB425210D7347,5,2,"Lunge(0)>Attack>DashForward>Lunge(7)>Attack>DashBackward>Lunge(3)>Attack>MoveRight>Attack>DashLeft>Attack",0,34.000,7,21,16,9,2.186,5,0.000,False,9.427,0,180,3500000.000,831.600,0.000,3500832.000,357.985,0E0BAA0CC0A1ACC0,True
A1,A-v2-complex,공격형-무가중진단,1.6,1,50DEB425210D7347,5,3,"Lunge(0)>Attack>DashForward>Lunge(7)>Attack>DashBackward>Lunge(3)>Attack>MoveRight>Attack>MoveForward>Attack",0,34.000,7,21,16,9,1.271,8,0.000,False,8.677,0,180,3499998.000,831.600,0.000,3500829.000,357.985,1456CDCDEF8C4CBA,True
A1,A-v2-complex,공격형-무가중진단,1.6,1,50DEB425210D7347,6,1,"Lunge(0)>Attack>DashForward>Lunge(7)>Attack>DashBackward>Lunge(3)>Attack>MoveRight>Attack>DashForward>Attack",0,34.000,8,20,16,8,1.211,7,0.000,False,9.427,0,180,3499998.000,880.000,0.000,3500878.000,312.864,174E838DC2F18B2B,True
A1,A-v2-complex,공격형-무가중진단,1.6,1,50DEB425210D7347,6,2,"Lunge(0)>Attack>DashForward>Lunge(7)>Attack>DashBackward>Lunge(3)>Attack>MoveRight>Attack>DashLeft>Attack",0,34.000,7,21,16,9,2.186,5,0.000,False,9.427,0,180,3500000.000,831.600,0.000,3500832.000,312.864,0E0BAA0CC0A1ACC0,True
A1,A-v2-complex,공격형-무가중진단,1.6,1,50DEB425210D7347,6,3,"Lunge(0)>Attack>DashForward>Lunge(7)>Attack>DashBackward>Lunge(3)>Attack>MoveRight>Attack>MoveForward>Attack",0,34.000,7,21,16,9,1.271,8,0.000,False,8.677,0,180,3499998.000,831.600,0.000,3500829.000,312.864,1456CDCDEF8C4CBA,True
A1,A-v2-complex,공격형-무가중진단,1.6,1,50DEB425210D7347,7,1,"Lunge(0)>Attack>DashForward>Lunge(7)>Attack>DashBackward>Lunge(3)>Attack>MoveRight>Attack>DashForward>Attack",0,34.000,8,20,16,8,1.211,7,0.000,False,9.427,0,180,3499998.000,880.000,0.000,3500878.000,302.509,174E838DC2F18B2B,True
A1,A-v2-complex,공격형-무가중진단,1.6,1,50DEB425210D7347,7,2,"Lunge(0)>Attack>DashForward>Lunge(7)>Attack>DashBackward>Lunge(3)>Attack>MoveRight>Attack>DashLeft>Attack",0,34.000,7,21,16,9,2.186,5,0.000,False,9.427,0,180,3500000.000,831.600,0.000,3500832.000,302.509,0E0BAA0CC0A1ACC0,True
A1,A-v2-complex,공격형-무가중진단,1.6,1,50DEB425210D7347,7,3,"Lunge(0)>Attack>DashForward>Lunge(7)>Attack>DashBackward>Lunge(3)>Attack>MoveRight>Attack>MoveForward>Attack",0,34.000,7,21,16,9,1.271,8,0.000,False,8.677,0,180,3499998.000,831.600,0.000,3500829.000,302.509,1456CDCDEF8C4CBA,True
A1,A-v2-complex,공격형-무가중진단,1.6,1,50DEB425210D7347,8,1,"Lunge(0)>Attack>DashForward>Lunge(7)>Attack>DashBackward>Lunge(3)>Attack>MoveRight>Attack>DashForward>Attack",0,34.000,8,20,16,8,1.211,7,0.000,False,9.427,0,180,3499998.000,880.000,0.000,3500878.000,300.708,174E838DC2F18B2B,True
A1,A-v2-complex,공격형-무가중진단,1.6,1,50DEB425210D7347,8,2,"Lunge(0)>Attack>DashForward>Lunge(7)>Attack>DashBackward>Lunge(3)>Attack>MoveRight>Attack>DashLeft>Attack",0,34.000,7,21,16,9,2.186,5,0.000,False,9.427,0,180,3500000.000,831.600,0.000,3500832.000,300.708,0E0BAA0CC0A1ACC0,True
A1,A-v2-complex,공격형-무가중진단,1.6,1,50DEB425210D7347,8,3,"Lunge(0)>Attack>DashForward>Lunge(7)>Attack>DashBackward>Lunge(3)>Attack>MoveRight>Attack>MoveForward>Attack",0,34.000,7,21,16,9,1.271,8,0.000,False,8.677,0,180,3499998.000,831.600,0.000,3500829.000,300.708,1456CDCDEF8C4CBA,True
A1,A-v2-complex,공격형-무가중진단,1.6,1,50DEB425210D7347,9,1,"Lunge(0)>Attack>DashForward>Lunge(7)>Attack>DashBackward>Lunge(3)>Attack>MoveRight>Attack>DashForward>Attack",0,34.000,8,20,16,8,1.211,7,0.000,False,9.427,0,180,3499998.000,880.000,0.000,3500878.000,307.980,174E838DC2F18B2B,True
A1,A-v2-complex,공격형-무가중진단,1.6,1,50DEB425210D7347,9,2,"Lunge(0)>Attack>DashForward>Lunge(7)>Attack>DashBackward>Lunge(3)>Attack>MoveRight>Attack>DashLeft>Attack",0,34.000,7,21,16,9,2.186,5,0.000,False,9.427,0,180,3500000.000,831.600,0.000,3500832.000,307.980,0E0BAA0CC0A1ACC0,True
A1,A-v2-complex,공격형-무가중진단,1.6,1,50DEB425210D7347,9,3,"Lunge(0)>Attack>DashForward>Lunge(7)>Attack>DashBackward>Lunge(3)>Attack>MoveRight>Attack>MoveForward>Attack",0,34.000,7,21,16,9,1.271,8,0.000,False,8.677,0,180,3499998.000,831.600,0.000,3500829.000,307.980,1456CDCDEF8C4CBA,True
A1,A-v2-complex,공격형-무가중진단,1.6,1,50DEB425210D7347,10,1,"Lunge(0)>Attack>DashForward>Lunge(7)>Attack>DashBackward>Lunge(3)>Attack>MoveRight>Attack>DashForward>Attack",0,34.000,8,20,16,8,1.211,7,0.000,False,9.427,0,180,3499998.000,880.000,0.000,3500878.000,311.177,174E838DC2F18B2B,True
A1,A-v2-complex,공격형-무가중진단,1.6,1,50DEB425210D7347,10,2,"Lunge(0)>Attack>DashForward>Lunge(7)>Attack>DashBackward>Lunge(3)>Attack>MoveRight>Attack>DashLeft>Attack",0,34.000,7,21,16,9,2.186,5,0.000,False,9.427,0,180,3500000.000,831.600,0.000,3500832.000,311.177,0E0BAA0CC0A1ACC0,True
A1,A-v2-complex,공격형-무가중진단,1.6,1,50DEB425210D7347,10,3,"Lunge(0)>Attack>DashForward>Lunge(7)>Attack>DashBackward>Lunge(3)>Attack>MoveRight>Attack>MoveForward>Attack",0,34.000,7,21,16,9,1.271,8,0.000,False,8.677,0,180,3499998.000,831.600,0.000,3500829.000,311.177,1456CDCDEF8C4CBA,True
A2,A-v2-complex,공격형-무가중진단,1.6,1,3F5F709DA48265EF,1,1,"LungeStrike(0)>DashRight>Lunge(5)>Attack>MoveLeft>Attack>Retreat>Attack>DashLeft>LungeStrike(3)>DashBackward>LungeStrike(2)",0,34.000,7,15,12,5,4.373,1,1.942,False,12.235,0,180,3500001.000,734.800,0.000,3500736.000,159.247,8595C84EEFCE8815,True
A2,A-v2-complex,공격형-무가중진단,1.6,1,3F5F709DA48265EF,1,2,"LungeStrike(0)>DashRight>Lunge(5)>Attack>MoveLeft>Attack>Retreat>Attack>DashLeft>LungeStrike(3)>DashRight>LungeStrike(2)",0,34.000,7,15,12,5,3.744,2,1.942,False,12.219,0,180,3500001.000,734.800,0.000,3500736.000,159.247,443AD4995992E909,True
A2,A-v2-complex,공격형-무가중진단,1.6,1,3F5F709DA48265EF,1,3,"LungeStrike(0)>DashRight>Lunge(5)>Attack>MoveLeft>Attack>MoveRight>Attack>Jump>LungeStrike(3)>DashForward>LungeStrike(1)",0,34.000,7,15,12,5,4.492,1,2.371,False,12.060,0,180,3500001.000,734.800,0.000,3500736.000,159.247,BD17176102D6F0C7,True
A2,A-v2-complex,공격형-무가중진단,1.6,1,3F5F709DA48265EF,2,1,"LungeStrike(0)>DashRight>Lunge(5)>Attack>MoveLeft>Attack>Retreat>Attack>DashLeft>LungeStrike(3)>DashBackward>LungeStrike(2)",0,34.000,7,15,12,5,4.373,1,1.942,False,12.235,0,180,3500001.000,734.800,0.000,3500736.000,162.705,8595C84EEFCE8815,True
A2,A-v2-complex,공격형-무가중진단,1.6,1,3F5F709DA48265EF,2,2,"LungeStrike(0)>DashRight>Lunge(5)>Attack>MoveLeft>Attack>Retreat>Attack>DashLeft>LungeStrike(3)>DashRight>LungeStrike(2)",0,34.000,7,15,12,5,3.744,2,1.942,False,12.219,0,180,3500001.000,734.800,0.000,3500736.000,162.705,443AD4995992E909,True
A2,A-v2-complex,공격형-무가중진단,1.6,1,3F5F709DA48265EF,2,3,"LungeStrike(0)>DashRight>Lunge(5)>Attack>MoveLeft>Attack>MoveRight>Attack>Jump>LungeStrike(3)>DashForward>LungeStrike(1)",0,34.000,7,15,12,5,4.492,1,2.371,False,12.060,0,180,3500001.000,734.800,0.000,3500736.000,162.705,BD17176102D6F0C7,True
A2,A-v2-complex,공격형-무가중진단,1.6,1,3F5F709DA48265EF,3,1,"LungeStrike(0)>DashRight>Lunge(5)>Attack>MoveLeft>Attack>Retreat>Attack>DashLeft>LungeStrike(3)>DashBackward>LungeStrike(2)",0,34.000,7,15,12,5,4.373,1,1.942,False,12.235,0,180,3500001.000,734.800,0.000,3500736.000,167.863,8595C84EEFCE8815,True
A2,A-v2-complex,공격형-무가중진단,1.6,1,3F5F709DA48265EF,3,2,"LungeStrike(0)>DashRight>Lunge(5)>Attack>MoveLeft>Attack>Retreat>Attack>DashLeft>LungeStrike(3)>DashRight>LungeStrike(2)",0,34.000,7,15,12,5,3.744,2,1.942,False,12.219,0,180,3500001.000,734.800,0.000,3500736.000,167.863,443AD4995992E909,True
A2,A-v2-complex,공격형-무가중진단,1.6,1,3F5F709DA48265EF,3,3,"LungeStrike(0)>DashRight>Lunge(5)>Attack>MoveLeft>Attack>MoveRight>Attack>Jump>LungeStrike(3)>DashForward>LungeStrike(1)",0,34.000,7,15,12,5,4.492,1,2.371,False,12.060,0,180,3500001.000,734.800,0.000,3500736.000,167.863,BD17176102D6F0C7,True
A2,A-v2-complex,공격형-무가중진단,1.6,1,3F5F709DA48265EF,4,1,"LungeStrike(0)>DashRight>Lunge(5)>Attack>MoveLeft>Attack>Retreat>Attack>DashLeft>LungeStrike(3)>DashBackward>LungeStrike(2)",0,34.000,7,15,12,5,4.373,1,1.942,False,12.235,0,180,3500001.000,734.800,0.000,3500736.000,155.596,8595C84EEFCE8815,True
A2,A-v2-complex,공격형-무가중진단,1.6,1,3F5F709DA48265EF,4,2,"LungeStrike(0)>DashRight>Lunge(5)>Attack>MoveLeft>Attack>Retreat>Attack>DashLeft>LungeStrike(3)>DashRight>LungeStrike(2)",0,34.000,7,15,12,5,3.744,2,1.942,False,12.219,0,180,3500001.000,734.800,0.000,3500736.000,155.596,443AD4995992E909,True
A2,A-v2-complex,공격형-무가중진단,1.6,1,3F5F709DA48265EF,4,3,"LungeStrike(0)>DashRight>Lunge(5)>Attack>MoveLeft>Attack>MoveRight>Attack>Jump>LungeStrike(3)>DashForward>LungeStrike(1)",0,34.000,7,15,12,5,4.492,1,2.371,False,12.060,0,180,3500001.000,734.800,0.000,3500736.000,155.596,BD17176102D6F0C7,True
A2,A-v2-complex,공격형-무가중진단,1.6,1,3F5F709DA48265EF,5,1,"LungeStrike(0)>DashRight>Lunge(5)>Attack>MoveLeft>Attack>Retreat>Attack>DashLeft>LungeStrike(3)>DashBackward>LungeStrike(2)",0,34.000,7,15,12,5,4.373,1,1.942,False,12.235,0,180,3500001.000,734.800,0.000,3500736.000,196.130,8595C84EEFCE8815,True
A2,A-v2-complex,공격형-무가중진단,1.6,1,3F5F709DA48265EF,5,2,"LungeStrike(0)>DashRight>Lunge(5)>Attack>MoveLeft>Attack>Retreat>Attack>DashLeft>LungeStrike(3)>DashRight>LungeStrike(2)",0,34.000,7,15,12,5,3.744,2,1.942,False,12.219,0,180,3500001.000,734.800,0.000,3500736.000,196.130,443AD4995992E909,True
A2,A-v2-complex,공격형-무가중진단,1.6,1,3F5F709DA48265EF,5,3,"LungeStrike(0)>DashRight>Lunge(5)>Attack>MoveLeft>Attack>MoveRight>Attack>Jump>LungeStrike(3)>DashForward>LungeStrike(1)",0,34.000,7,15,12,5,4.492,1,2.371,False,12.060,0,180,3500001.000,734.800,0.000,3500736.000,196.130,BD17176102D6F0C7,True
A2,A-v2-complex,공격형-무가중진단,1.6,1,3F5F709DA48265EF,6,1,"LungeStrike(0)>DashRight>Lunge(5)>Attack>MoveLeft>Attack>Retreat>Attack>DashLeft>LungeStrike(3)>DashBackward>LungeStrike(2)",0,34.000,7,15,12,5,4.373,1,1.942,False,12.235,0,180,3500001.000,734.800,0.000,3500736.000,160.787,8595C84EEFCE8815,True
A2,A-v2-complex,공격형-무가중진단,1.6,1,3F5F709DA48265EF,6,2,"LungeStrike(0)>DashRight>Lunge(5)>Attack>MoveLeft>Attack>Retreat>Attack>DashLeft>LungeStrike(3)>DashRight>LungeStrike(2)",0,34.000,7,15,12,5,3.744,2,1.942,False,12.219,0,180,3500001.000,734.800,0.000,3500736.000,160.787,443AD4995992E909,True
A2,A-v2-complex,공격형-무가중진단,1.6,1,3F5F709DA48265EF,6,3,"LungeStrike(0)>DashRight>Lunge(5)>Attack>MoveLeft>Attack>MoveRight>Attack>Jump>LungeStrike(3)>DashForward>LungeStrike(1)",0,34.000,7,15,12,5,4.492,1,2.371,False,12.060,0,180,3500001.000,734.800,0.000,3500736.000,160.787,BD17176102D6F0C7,True
A2,A-v2-complex,공격형-무가중진단,1.6,1,3F5F709DA48265EF,7,1,"LungeStrike(0)>DashRight>Lunge(5)>Attack>MoveLeft>Attack>Retreat>Attack>DashLeft>LungeStrike(3)>DashBackward>LungeStrike(2)",0,34.000,7,15,12,5,4.373,1,1.942,False,12.235,0,180,3500001.000,734.800,0.000,3500736.000,154.893,8595C84EEFCE8815,True
A2,A-v2-complex,공격형-무가중진단,1.6,1,3F5F709DA48265EF,7,2,"LungeStrike(0)>DashRight>Lunge(5)>Attack>MoveLeft>Attack>Retreat>Attack>DashLeft>LungeStrike(3)>DashRight>LungeStrike(2)",0,34.000,7,15,12,5,3.744,2,1.942,False,12.219,0,180,3500001.000,734.800,0.000,3500736.000,154.893,443AD4995992E909,True
A2,A-v2-complex,공격형-무가중진단,1.6,1,3F5F709DA48265EF,7,3,"LungeStrike(0)>DashRight>Lunge(5)>Attack>MoveLeft>Attack>MoveRight>Attack>Jump>LungeStrike(3)>DashForward>LungeStrike(1)",0,34.000,7,15,12,5,4.492,1,2.371,False,12.060,0,180,3500001.000,734.800,0.000,3500736.000,154.893,BD17176102D6F0C7,True
A2,A-v2-complex,공격형-무가중진단,1.6,1,3F5F709DA48265EF,8,1,"LungeStrike(0)>DashRight>Lunge(5)>Attack>MoveLeft>Attack>Retreat>Attack>DashLeft>LungeStrike(3)>DashBackward>LungeStrike(2)",0,34.000,7,15,12,5,4.373,1,1.942,False,12.235,0,180,3500001.000,734.800,0.000,3500736.000,155.704,8595C84EEFCE8815,True
A2,A-v2-complex,공격형-무가중진단,1.6,1,3F5F709DA48265EF,8,2,"LungeStrike(0)>DashRight>Lunge(5)>Attack>MoveLeft>Attack>Retreat>Attack>DashLeft>LungeStrike(3)>DashRight>LungeStrike(2)",0,34.000,7,15,12,5,3.744,2,1.942,False,12.219,0,180,3500001.000,734.800,0.000,3500736.000,155.704,443AD4995992E909,True
A2,A-v2-complex,공격형-무가중진단,1.6,1,3F5F709DA48265EF,8,3,"LungeStrike(0)>DashRight>Lunge(5)>Attack>MoveLeft>Attack>MoveRight>Attack>Jump>LungeStrike(3)>DashForward>LungeStrike(1)",0,34.000,7,15,12,5,4.492,1,2.371,False,12.060,0,180,3500001.000,734.800,0.000,3500736.000,155.704,BD17176102D6F0C7,True
A2,A-v2-complex,공격형-무가중진단,1.6,1,3F5F709DA48265EF,9,1,"LungeStrike(0)>DashRight>Lunge(5)>Attack>MoveLeft>Attack>Retreat>Attack>DashLeft>LungeStrike(3)>DashBackward>LungeStrike(2)",0,34.000,7,15,12,5,4.373,1,1.942,False,12.235,0,180,3500001.000,734.800,0.000,3500736.000,151.428,8595C84EEFCE8815,True
A2,A-v2-complex,공격형-무가중진단,1.6,1,3F5F709DA48265EF,9,2,"LungeStrike(0)>DashRight>Lunge(5)>Attack>MoveLeft>Attack>Retreat>Attack>DashLeft>LungeStrike(3)>DashRight>LungeStrike(2)",0,34.000,7,15,12,5,3.744,2,1.942,False,12.219,0,180,3500001.000,734.800,0.000,3500736.000,151.428,443AD4995992E909,True
A2,A-v2-complex,공격형-무가중진단,1.6,1,3F5F709DA48265EF,9,3,"LungeStrike(0)>DashRight>Lunge(5)>Attack>MoveLeft>Attack>MoveRight>Attack>Jump>LungeStrike(3)>DashForward>LungeStrike(1)",0,34.000,7,15,12,5,4.492,1,2.371,False,12.060,0,180,3500001.000,734.800,0.000,3500736.000,151.428,BD17176102D6F0C7,True
A2,A-v2-complex,공격형-무가중진단,1.6,1,3F5F709DA48265EF,10,1,"LungeStrike(0)>DashRight>Lunge(5)>Attack>MoveLeft>Attack>Retreat>Attack>DashLeft>LungeStrike(3)>DashBackward>LungeStrike(2)",0,34.000,7,15,12,5,4.373,1,1.942,False,12.235,0,180,3500001.000,734.800,0.000,3500736.000,208.724,8595C84EEFCE8815,True
A2,A-v2-complex,공격형-무가중진단,1.6,1,3F5F709DA48265EF,10,2,"LungeStrike(0)>DashRight>Lunge(5)>Attack>MoveLeft>Attack>Retreat>Attack>DashLeft>LungeStrike(3)>DashRight>LungeStrike(2)",0,34.000,7,15,12,5,3.744,2,1.942,False,12.219,0,180,3500001.000,734.800,0.000,3500736.000,208.724,443AD4995992E909,True
A2,A-v2-complex,공격형-무가중진단,1.6,1,3F5F709DA48265EF,10,3,"LungeStrike(0)>DashRight>Lunge(5)>Attack>MoveLeft>Attack>MoveRight>Attack>Jump>LungeStrike(3)>DashForward>LungeStrike(1)",0,34.000,7,15,12,5,4.492,1,2.371,False,12.060,0,180,3500001.000,734.800,0.000,3500736.000,208.724,BD17176102D6F0C7,True
A3,A-v2-complex,공격형-무가중진단,1.6,1,01880BEA0D35E61C,1,1,"Attack>DashForward>Attack>MoveLeft>Attack>MoveForward>Lunge(2)>Attack>MoveRight>Attack>Retreat>Attack",0,29.000,9,16,14,6,3.663,2,0.000,False,6.215,1,180,3499998.000,875.600,0.000,3500873.000,239.501,A0CA6604C4776456,True
A3,A-v2-complex,공격형-무가중진단,1.6,1,01880BEA0D35E61C,1,2,"Attack>DashForward>Attack>MoveLeft>Attack>MoveForward>Lunge(2)>Attack>MoveRight>Attack>DashBackward>Lunge(6)",0,29.000,9,16,14,6,3.481,2,0.000,False,7.922,1,180,3499998.000,875.600,0.000,3500873.000,239.501,B3AA95B991B533C7,True
A3,A-v2-complex,공격형-무가중진단,1.6,1,01880BEA0D35E61C,1,3,"Attack>DashForward>Attack>MoveLeft>Attack>MoveForward>Lunge(2)>Attack>MoveRight>Attack>DashRight>Lunge(6)",0,29.000,9,16,14,6,3.460,1,0.000,False,7.668,1,180,3499998.000,875.600,0.000,3500873.000,239.501,233E281119EBE4C4,True
A3,A-v2-complex,공격형-무가중진단,1.6,1,01880BEA0D35E61C,2,1,"Attack>DashForward>Attack>MoveLeft>Attack>MoveForward>Lunge(2)>Attack>MoveRight>Attack>Retreat>Attack",0,29.000,9,16,14,6,3.663,2,0.000,False,6.215,1,180,3499998.000,875.600,0.000,3500873.000,168.754,A0CA6604C4776456,True
A3,A-v2-complex,공격형-무가중진단,1.6,1,01880BEA0D35E61C,2,2,"Attack>DashForward>Attack>MoveLeft>Attack>MoveForward>Lunge(2)>Attack>MoveRight>Attack>DashBackward>Lunge(6)",0,29.000,9,16,14,6,3.481,2,0.000,False,7.922,1,180,3499998.000,875.600,0.000,3500873.000,168.754,B3AA95B991B533C7,True
A3,A-v2-complex,공격형-무가중진단,1.6,1,01880BEA0D35E61C,2,3,"Attack>DashForward>Attack>MoveLeft>Attack>MoveForward>Lunge(2)>Attack>MoveRight>Attack>DashRight>Lunge(6)",0,29.000,9,16,14,6,3.460,1,0.000,False,7.668,1,180,3499998.000,875.600,0.000,3500873.000,168.754,233E281119EBE4C4,True
A3,A-v2-complex,공격형-무가중진단,1.6,1,01880BEA0D35E61C,3,1,"Attack>DashForward>Attack>MoveLeft>Attack>MoveForward>Lunge(2)>Attack>MoveRight>Attack>Retreat>Attack",0,29.000,9,16,14,6,3.663,2,0.000,False,6.215,1,180,3499998.000,875.600,0.000,3500873.000,181.141,A0CA6604C4776456,True
A3,A-v2-complex,공격형-무가중진단,1.6,1,01880BEA0D35E61C,3,2,"Attack>DashForward>Attack>MoveLeft>Attack>MoveForward>Lunge(2)>Attack>MoveRight>Attack>DashBackward>Lunge(6)",0,29.000,9,16,14,6,3.481,2,0.000,False,7.922,1,180,3499998.000,875.600,0.000,3500873.000,181.141,B3AA95B991B533C7,True
A3,A-v2-complex,공격형-무가중진단,1.6,1,01880BEA0D35E61C,3,3,"Attack>DashForward>Attack>MoveLeft>Attack>MoveForward>Lunge(2)>Attack>MoveRight>Attack>DashRight>Lunge(6)",0,29.000,9,16,14,6,3.460,1,0.000,False,7.668,1,180,3499998.000,875.600,0.000,3500873.000,181.141,233E281119EBE4C4,True
A3,A-v2-complex,공격형-무가중진단,1.6,1,01880BEA0D35E61C,4,1,"Attack>DashForward>Attack>MoveLeft>Attack>MoveForward>Lunge(2)>Attack>MoveRight>Attack>Retreat>Attack",0,29.000,9,16,14,6,3.663,2,0.000,False,6.215,1,180,3499998.000,875.600,0.000,3500873.000,212.826,A0CA6604C4776456,True
A3,A-v2-complex,공격형-무가중진단,1.6,1,01880BEA0D35E61C,4,2,"Attack>DashForward>Attack>MoveLeft>Attack>MoveForward>Lunge(2)>Attack>MoveRight>Attack>DashBackward>Lunge(6)",0,29.000,9,16,14,6,3.481,2,0.000,False,7.922,1,180,3499998.000,875.600,0.000,3500873.000,212.826,B3AA95B991B533C7,True
A3,A-v2-complex,공격형-무가중진단,1.6,1,01880BEA0D35E61C,4,3,"Attack>DashForward>Attack>MoveLeft>Attack>MoveForward>Lunge(2)>Attack>MoveRight>Attack>DashRight>Lunge(6)",0,29.000,9,16,14,6,3.460,1,0.000,False,7.668,1,180,3499998.000,875.600,0.000,3500873.000,212.826,233E281119EBE4C4,True
